Id;Dato;Start;Slutt dato;Slutt;Plasser;Undform;Partinr;Aktivitet;Emne;Fagperson;Email;Tittel;Stedkode;Sted;Rom;Fag;Studentgr;Terminnr;
24V-SOS2100-1-1-1-1;16.01.2024;10:15;16.01.2024;12:00;170;FOR;;Forelesning;SOS2100;Flemmen, Magne Paalgard;;Professor;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;622, 971, 2116, 2229, 4622, 5800, 5869;1;
24V-UTV3091-1-1-1-3-1;16.01.2024;10:15;16.01.2024;12:00;15;SEM;3;Seminargruppe 3;UTV3091;Fagervold, Ida;;Stipendiat;185170700;SV-ISS;BL11134 Seminarrom 134;;6386;1;
24V-SOS2402-1-1-1-1;16.01.2024;12:15;16.01.2024;14:00;70;FOR;;Lectures;SOS2402;Lappegård, Trude;;Professor;185170700;SV-ISS;BL09107 Auditorium 2;;622, 971, 2229, 5211, 5869;1;
24V-SOS2200-1-1-1-1;16.01.2024;12:15;16.01.2024;14:00;120;FOR;;Forelesning;SOS2200;Byrkjeflot, Haldor;;Professor;185170700;SV-ISS;BL09132 Trygve Haavelmos auditorium 7;;622, 971, 2229, 2329, 4622, 5869;1;
24V-SGO3200-1-1-1-1;16.01.2024;12:15;16.01.2024;15:00;40;FOR;;Forelesning: ;SGO3200;Sæther, Bjørnar;;Professor;185170700;SV-ISS;BL273513 Undervisningsrom 3;;1642, 5032, 5034;1;
24V-SOS4016-1-1-1-1;16.01.2024;12:15;16.01.2024;15:00;9;FOR;;Forelesning;SOS4016;Hermansen, Are Skeie;;Professor;185170700;SV-ISS;BL11038 Seminarrom 038;;4624;1;
24V-HGO4020-1-1-1-1;17.01.2024;10:15;17.01.2024;12:00;25;SEM-F;;Seminar;HGO4020;Hewitt, Iselin;;Stipendiat;185170700;SV-ISS;BL11101 Seminarrom 101;;4594;1;
24V-HGO4020-1-1-1-1;17.01.2024;10:15;17.01.2024;12:00;25;SEM-F;;Seminar;HGO4020;Røe, Per Gunnar;;Professor;185170700;SV-ISS;BL11101 Seminarrom 101;;4594;1;
24V-SOS3090-1-1-1-1;17.01.2024;10:15;17.01.2024;16:00;80;FOR;;Forelesning: SOS3090/SVLEP3090 forelesning;SOS3090;Hansen, Marianne Nordli;;Professor;185170700;SV-ISS;BL09107 Auditorium 2;;3534, 3931, 4622;1;
24V-SOSGEO4801-1-1-1-1;17.01.2024;12:15;17.01.2024;14:00;40;SEMFOR;;Forelesning og studentaktiviteter;SOSGEO4801;Kjellman, Kjell Erling;;Førstelektor;185170700;SV-ISS;BL11201 Seminarrom 201;;4624, 5407;1;
24V-HGO4941-1-1-1-1;18.01.2024;09:15;18.01.2024;12:00;25;FOR;;Forelesninger: Lecture;HGO4941;Tollefsen, Andreas Forø;;Førsteamanuensis;185170700;SV-ISS;BL10351 PC-stue 351;;4594;1;
24V-SGO2100-1-1-1-1;18.01.2024;10:15;18.01.2024;12:00;100;FOR;;Forelesning: ;SGO2100;Røe, Per Gunnar;;Professor;185170700;SV-ISS;BL09132 Trygve Haavelmos auditorium 7;;5833;1;
24V-SOS3090-1-1-1-2;18.01.2024;10:15;18.01.2024;16:00;80;FOR;;Forelesning: SOS3090/SVLEP3090 forelesning;SOS3090;Hansen, Marianne Nordli;;Professor;185170700;SV-ISS;BL09107 Auditorium 2;;3534, 3931, 4622;1;
24V-SGO1004-1-1-2-1;18.01.2024;12:15;18.01.2024;14:00;50;FOR;;Forelesninger: ;SGO1004;Gentile, Michael;;Professor;185170700;SV-ISS;BL09113 Auditorium 4;;5034;1;
24V-SGO1004-1-1-2-1;18.01.2024;12:15;18.01.2024;14:00;50;FOR;;Forelesninger: ;SGO1004;Herstad, Sverre Johan;;Professor;185170700;SV-ISS;BL09113 Auditorium 4;;5034;1;
24V-HGO4010-1-1-2-501;18.01.2024;14:15;18.01.2024;16:00;25;SEMFOR;;Lecture;HGO4010;Houeland, Camilla;;Førsteamanuensis;185170700;SV-ISS;BL09113 Auditorium 4;;4594, 5407;1;
24V-SGO3090-1-1-1-1;18.01.2024;14:15;18.01.2024;16:00;30;SEMFOR;;Forelesning;SGO3090;Sæther, Bjørnar;;Professor;185170700;SV-ISS;BL11301 Seminarrom 301;;5032;1;
24V-SOSGEO1120-1-1-1-501;19.01.2024;10:15;19.01.2024;12:00;200;FOR;;Forelesning;SOSGEO1120;Hermansen, Are Skeie;;Professor;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;971, 1642, 1920, 2040, 2116, 2229, 4622, 5034, 5799, 5800, 5802, 5806, 5851, 6130, 6392, 6420, 6421;1;
